REF_DATE,GEO,DGUID,Type of employees,Overtime,North American Industry Classification System (NAICS),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2006-04-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,750.63,,,,2
2006-05-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,750.42,,,,2
2006-06-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,753.79,,,,2
2006-07-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,751.07,,,,2
2006-08-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,754.31,,,,2
2006-09-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,757.23,,,,2
2006-10-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,761.73,,,,2
2006-11-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,760.51,,,,2
2006-12-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,773.48,,,,2
2007-01-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,773.76,,,,2
2007-02-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,776.62,,,,2
2007-03-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,784.11,,,,2
